run_id;query_shape;driver;collection_size;depth;filter_count;phase;iteration;duration
3;collection collect all;postgres;100;1;0;build;0;10883
3;collection collect all;postgres;100;1;0;exec;0;9167
3;collection collect all;postgres;100;1;0;total;0;20050
3;collection collect all;mongo;100;1;0;build;0;15575
3;collection collect all;mongo;100;1;0;exec;0;12233
3;collection collect all;mongo;100;1;0;total;0;27808
3;collection collect all;neo4j;100;1;0;build;0;3785
3;collection collect all;neo4j;100;1;0;exec;0;148478
3;collection collect all;neo4j;100;1;0;total;0;152264
3;collection collect all;postgres;100;1;0;build;1;179
3;collection collect all;postgres;100;1;0;exec;1;2131
3;collection collect all;postgres;100;1;0;total;1;2310
3;collection collect all;mongo;100;1;0;build;1;1792
3;collection collect all;mongo;100;1;0;exec;1;3850
3;collection collect all;mongo;100;1;0;total;1;5643
3;collection collect all;neo4j;100;1;0;build;1;72
3;collection collect all;neo4j;100;1;0;exec;1;22755
3;collection collect all;neo4j;100;1;0;total;1;22827
3;collection collect all;postgres;100;1;0;build;2;165
3;collection collect all;postgres;100;1;0;exec;2;1466
3;collection collect all;postgres;100;1;0;total;2;1632
3;collection collect all;mongo;100;1;0;build;2;1424
3;collection collect all;mongo;100;1;0;exec;2;3531
3;collection collect all;mongo;100;1;0;total;2;4955
3;collection collect all;neo4j;100;1;0;build;2;68
3;collection collect all;neo4j;100;1;0;exec;2;18866
3;collection collect all;neo4j;100;1;0;total;2;18934
3;collection collect all;postgres;100;1;0;build;3;213
3;collection collect all;postgres;100;1;0;exec;3;1551
3;collection collect all;postgres;100;1;0;total;3;1764
3;collection collect all;mongo;100;1;0;build;3;1270
3;collection collect all;mongo;100;1;0;exec;3;4182
3;collection collect all;mongo;100;1;0;total;3;5452
3;collection collect all;neo4j;100;1;0;build;3;61
3;collection collect all;neo4j;100;1;0;exec;3;15745
3;collection collect all;neo4j;100;1;0;total;3;15806
3;collection collect all;postgres;100;1;0;build;4;152
3;collection collect all;postgres;100;1;0;exec;4;1312
3;collection collect all;postgres;100;1;0;total;4;1464
3;collection collect all;mongo;100;1;0;build;4;1096
3;collection collect all;mongo;100;1;0;exec;4;3289
3;collection collect all;mongo;100;1;0;total;4;4386
3;collection collect all;neo4j;100;1;0;build;4;72
3;collection collect all;neo4j;100;1;0;exec;4;13752
3;collection collect all;neo4j;100;1;0;total;4;13825
3;collection collect all;postgres;100;1;0;build;5;142
3;collection collect all;postgres;100;1;0;exec;5;1171
3;collection collect all;postgres;100;1;0;total;5;1314
3;collection collect all;mongo;100;1;0;build;5;766
3;collection collect all;mongo;100;1;0;exec;5;3441
3;collection collect all;mongo;100;1;0;total;5;4207
3;collection collect all;neo4j;100;1;0;build;5;73
3;collection collect all;neo4j;100;1;0;exec;5;12067
3;collection collect all;neo4j;100;1;0;total;5;12140
3;collection collect all;postgres;100;1;0;build;6;221
3;collection collect all;postgres;100;1;0;exec;6;1161
3;collection collect all;postgres;100;1;0;total;6;1382
3;collection collect all;mongo;100;1;0;build;6;619
3;collection collect all;mongo;100;1;0;exec;6;3415
3;collection collect all;mongo;100;1;0;total;6;4034
3;collection collect all;neo4j;100;1;0;build;6;83
3;collection collect all;neo4j;100;1;0;exec;6;12251
3;collection collect all;neo4j;100;1;0;total;6;12335
3;collection collect all;postgres;100;1;0;build;7;142
3;collection collect all;postgres;100;1;0;exec;7;986
3;collection collect all;postgres;100;1;0;total;7;1129
3;collection collect all;mongo;100;1;0;build;7;609
3;collection collect all;mongo;100;1;0;exec;7;2565
3;collection collect all;mongo;100;1;0;total;7;3174
3;collection collect all;neo4j;100;1;0;build;7;84
3;collection collect all;neo4j;100;1;0;exec;7;10241
3;collection collect all;neo4j;100;1;0;total;7;10325
3;collection collect all;postgres;100;1;0;build;8;120
3;collection collect all;postgres;100;1;0;exec;8;882
3;collection collect all;postgres;100;1;0;total;8;1002
3;collection collect all;mongo;100;1;0;build;8;902
3;collection collect all;mongo;100;1;0;exec;8;2178
3;collection collect all;mongo;100;1;0;total;8;3081
3;collection collect all;neo4j;100;1;0;build;8;84
3;collection collect all;neo4j;100;1;0;exec;8;9562
3;collection collect all;neo4j;100;1;0;total;8;9646
3;collection collect all;postgres;100;1;0;build;9;130
3;collection collect all;postgres;100;1;0;exec;9;1001
3;collection collect all;postgres;100;1;0;total;9;1132
3;collection collect all;mongo;100;1;0;build;9;573
3;collection collect all;mongo;100;1;0;exec;9;3129
3;collection collect all;mongo;100;1;0;total;9;3703
3;collection collect all;neo4j;100;1;0;build;9;86
3;collection collect all;neo4j;100;1;0;exec;9;13123
3;collection collect all;neo4j;100;1;0;total;9;13210
3;collection collect all;postgres;100;1;0;build;10;214
3;collection collect all;postgres;100;1;0;exec;10;1123
3;collection collect all;postgres;100;1;0;total;10;1337
3;collection collect all;mongo;100;1;0;build;10;581
3;collection collect all;mongo;100;1;0;exec;10;3370
3;collection collect all;mongo;100;1;0;total;10;3952
