query_shape,phase,driver_a,driver_b,median_a,median_b,p_value,cliffs_delta
collection 1 range filter,build,mongo,neo4j,26.0,9.0,0.0,0.8189414750515729
collection 1 range filter,build,mongo,postgres,26.0,35.0,2.183354627012876e-293,-0.5640846376173754
collection 1 range filter,build,neo4j,postgres,9.0,35.0,0.0,-0.9203998900972488
collection 3 range filter,build,mongo,neo4j,28.0,11.0,0.0,0.769024633662989
collection 3 range filter,build,mongo,postgres,28.0,42.0,0.0,-0.715014950616925
collection 3 range filter,build,neo4j,postgres,11.0,42.0,0.0,-0.9415031895110986
collection all,build,mongo,neo4j,56.0,22.0,3.940592694475622e-284,1.0
collection all,build,mongo,postgres,56.0,58.0,0.0009406293804959254,0.09114096815709719
collection all,build,neo4j,postgres,22.0,58.0,6.0519078279560826e-285,-0.995817619945527
collection all only,build,mongo,neo4j,32.0,18.0,3.177229794955873e-287,1.0
collection all only,build,mongo,postgres,32.0,39.0,1.5609357600303213e-118,-0.6365279612732753
collection all only,build,neo4j,postgres,18.0,39.0,5.067589993048696e-298,-1.0
collection get by id,build,mongo,neo4j,15.0,7.0,8.214032626611614e-183,0.43662821883562014
collection get by id,build,mongo,postgres,15.0,21.0,0.0,-0.7987469711108295
collection get by id,build,neo4j,postgres,7.0,21.0,0.0,-0.7089368163540759
collection id in list,build,mongo,neo4j,24.0,12.0,0.0,0.7823758867973836
collection id in list,build,mongo,postgres,24.0,27.0,1.1941439661551632e-273,-0.5472273296853453
collection id in list,build,neo4j,postgres,12.0,27.0,0.0,-0.9192674019277258
collection id in list only,build,mongo,neo4j,23.0,12.0,0.0,0.6799810648609549
collection id in list only,build,mongo,postgres,23.0,21.0,1.1910313216152738e-07,0.08255258954384467
collection id in list only,build,neo4j,postgres,12.0,21.0,0.0,-0.6384259780483378
collection int equality,build,mongo,neo4j,39.0,8.0,0.0,0.9999791344718088
collection int equality,build,mongo,postgres,39.0,23.0,2.691125379155104e-135,0.3735317459481118
collection int equality,build,neo4j,postgres,8.0,23.0,0.0,-1.0
collection string equality,build,mongo,neo4j,22.0,7.0,0.0,0.9986534958666107
collection string equality,build,mongo,postgres,22.0,21.0,6.784695806638369e-35,-0.18556963808308474
collection string equality,build,neo4j,postgres,7.0,21.0,0.0,-0.9999989494970717
collection string equality multiple,build,mongo,neo4j,24.0,7.0,0.0,0.9999848157005656
collection string equality multiple,build,mongo,postgres,24.0,22.0,1.3338798558123885e-05,-0.06561074395646038
collection string equality multiple,build,neo4j,postgres,7.0,22.0,0.0,-1.0
collection string in list,build,mongo,neo4j,31.0,12.0,0.0,0.9824733677387165
collection string in list,build,mongo,postgres,31.0,27.0,0.011951953791297942,0.03791758104930401
collection string in list,build,neo4j,postgres,12.0,27.0,0.0,-1.0
connection all,build,mongo,neo4j,402.0,10.0,1.403577600282298e-272,1.0
connection all,build,mongo,postgres,402.0,69.0,8.303237636547261e-281,1.0
connection all,build,neo4j,postgres,10.0,69.0,7.978360244644301e-298,-1.0
connection all only,build,mongo,neo4j,452.0,9.0,5.819933714432292e-296,1.0
connection all only,build,mongo,postgres,452.0,62.0,4.8913235111302125e-298,1.0
connection all only,build,neo4j,postgres,9.0,62.0,9.635742913120146e-306,-1.0
connection equality,build,mongo,neo4j,235.0,11.0,0.0,1.0
connection equality,build,mongo,postgres,235.0,42.0,0.0,0.9139352666746415
connection equality,build,neo4j,postgres,11.0,42.0,0.0,-1.0
connection filter near node and edge,build,mongo,neo4j,108.0,16.0,0.0,1.0
