driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
mongo,collection 1 range filter,build,2738.0,25.493791088385684,26.0,3.9046169821522647,0.15315952690657716,16.0,31.0,33.0,35.0,35.0
neo4j,collection 1 range filter,build,2934.0,13.003749147920926,9.0,7.21674943944003,0.5549745198363707,4.0,23.0,26.0,31.670000000000073,38.0
postgres,collection 1 range filter,build,2868.0,39.37238493723849,35.0,15.910811465206594,0.404110939445736,19.0,66.0,70.0,79.0,81.0
mongo,collection 1 range filter,exec,2950.0,3276.1989830508473,1976.0,2660.5524592336074,0.8120851245598213,661.0,7044.1,7339.749999999998,8001.549999999999,9991.0
neo4j,collection 1 range filter,exec,2929.0,2883.5029020143393,2476.0,912.2031769325953,0.3163524393526201,1545.0,4144.0,4375.799999999999,5100.879999999999,6278.0
postgres,collection 1 range filter,exec,2935.0,691.993867120954,540.0,313.8882817257988,0.4535998028880422,325.0,1073.0,1313.199999999999,1538.9799999999996,1773.0
mongo,collection 1 range filter,total,2950.0,3304.436949152542,2000.0,2659.617646522582,0.8048625794493277,681.0,7072.1,7367.099999999999,8027.569999999998,10016.0
neo4j,collection 1 range filter,total,2929.0,2897.204848071014,2490.0,909.2752137318432,0.31384567588903733,1552.0,4152.200000000001,4384.0,5110.44,6285.0
postgres,collection 1 range filter,total,2931.0,732.5158648925282,583.0,304.6970475557236,0.41595965651942235,365.0,1107.0,1346.5,1565.0999999999995,1744.0
mongo,collection 3 range filter,build,2856.0,27.681372549019606,28.0,4.76016927908419,0.17196290648719229,14.0,34.0,37.0,40.0,41.0
neo4j,collection 3 range filter,build,2940.0,14.965306122448979,11.0,7.983916744430468,0.5334950504256006,5.0,26.0,29.0,35.0,44.0
postgres,collection 3 range filter,build,2890.0,47.96124567474048,42.0,18.122918443302282,0.3778658829298713,21.0,81.0,84.0,89.0,92.0
mongo,collection 3 range filter,exec,2950.0,3343.944406779661,2024.0,2724.4260478545043,0.8147342528574584,663.0,7257.1,7545.099999999999,8147.789999999994,9844.0
neo4j,collection 3 range filter,exec,2934.0,2972.8783231083844,2380.5,1145.2767320150651,0.38524171107601396,1631.0,4554.700000000001,4860.4,5693.410000000002,7325.0
postgres,collection 3 range filter,exec,2930.0,708.0853242320819,536.0,330.8644670420526,0.46726638121030806,318.0,1162.1,1334.5499999999997,1635.0,1828.0
mongo,collection 3 range filter,total,2950.0,3376.8379661016947,2053.0,2728.0404986997314,0.8078683449087872,684.0,7286.0,7581.099999999999,8210.37999999999,12191.0
neo4j,collection 3 range filter,total,2934.0,2988.4662576687115,2400.0,1141.74701766888,0.3820511657908266,1653.0,4565.800000000001,4870.049999999999,5709.360000000001,7339.0
postgres,collection 3 range filter,total,2926.0,756.5311004784689,591.0,319.740202589677,0.4226398655487619,367.0,1196.5,1368.75,1664.0,1829.0
mongo,collection all,build,868.0,57.71198156682028,56.0,9.005316601618858,0.15603894299127977,44.0,71.0,77.0,84.0,86.0
neo4j,collection all,build,860.0,23.21511627906977,22.0,4.815477990311163,0.2074285535520962,17.0,30.0,33.0,38.0,40.0
postgres,collection all,build,888.0,58.865990990990994,58.0,20.504489923461623,0.3483248914742586,36.0,93.0,102.0,116.13,121.0
mongo,collection all,exec,877.0,1058.877993158495,1032.0,162.91174721438256,0.15385318069406473,788.0,1277.4,1401.0,1507.16,1545.0
neo4j,collection all,exec,872.0,4514.850917431193,4424.0,692.1186915153836,0.15329823823046126,3192.0,5430.7,5801.9,6359.9,6711.0
postgres,collection all,exec,877.0,590.6567844925884,570.0,112.90289445135345,0.19114805317667552,409.0,768.0,821.3999999999995,901.44,947.0
mongo,collection all,total,876.0,1118.0867579908677,1091.0,168.92755981321935,0.15108627179949047,834.0,1347.5,1466.75,1589.0,1625.0
neo4j,collection all,total,872.0,4540.066513761468,4446.5,696.9671300827938,0.15351473992070505,3210.0,5469.3,5827.799999999999,6394.45,6756.0
postgres,collection all,total,878.0,651.6799544419134,630.5,127.32980487706767,0.19538702089756704,446.0,844.8000000000004,918.0499999999998,1004.0,1043.0
mongo,collection all only,build,848.0,33.14622641509434,32.0,4.834677462693273,0.14585906106318114,25.0,40.0,43.0,48.52999999999997,50.0
