driver,phase,model_type,n_rows,n_query_shapes,in_sample_r2,kfold_r2_mean,kfold_r2_std,group_kfold_r2_mean,group_kfold_r2_std
mongo,build,linear,144020,59,0.1303634709428153,0.1303108649008552,0.0014927903755144062,-15.48319877009925,17.305235770113143
mongo,build,forest,144020,59,0.3459928676051278,0.34574342191306806,0.00743628490134189,-30.765605565155813,37.95760797135563
mongo,exec,linear,148561,59,0.36580488240786413,0.3656447777903084,0.001836339843190306,0.12433956107362162,0.22952064700731342
mongo,exec,forest,148561,59,0.5460645441494114,0.5457179940659694,0.004660299048950139,-0.5958736648687148,0.9247483560949186
mongo,total,linear,148570,59,0.26034922602233557,0.26009608192841605,0.0023573842764756815,-0.5840772281214187,0.6801467745402875
mongo,total,forest,148570,59,0.43448093773187846,0.43381604048291306,0.006346749287199349,-3.0528540987544064,3.2175022856041005
neo4j,build,linear,140778,59,0.3541498702929987,0.3540396322181965,0.004660394811022111,0.15749725707192022,0.19964966889918076
neo4j,build,forest,140778,59,0.7942065679514249,0.7938757083026503,0.0015709124588208776,0.4298532926505567,0.23208177303617702
neo4j,exec,linear,148873,59,0.5753709871588193,0.575287231826368,0.001869939690953216,0.5211576520713489,0.07768399534740784
neo4j,exec,forest,148873,59,0.9122427038494756,0.9088700097979586,0.007192598853649774,0.550098058849967,0.2545683233912712
neo4j,total,linear,148863,59,0.5747640207815026,0.5746907222673018,0.0020587112773573345,0.5285205497006176,0.07799049958723366
neo4j,total,forest,148863,59,0.9120082742854966,0.9105386924791956,0.003441047786231813,0.5488336668998277,0.2662301130743669
postgres,build,linear,140527,59,0.3912516816924878,0.3911370691651639,0.0027112037206482474,0.20655322360153053,0.1768594312324533
postgres,build,forest,140527,59,0.587234026257432,0.5869237786373155,0.0035060606539634867,0.06385781492211429,0.15378211234242553
postgres,exec,linear,148787,59,0.7217382086148898,0.7216380481720674,0.0021337690424163462,0.6970266907109955,0.058395270080471726
postgres,exec,forest,148787,59,0.9646675529542269,0.9646314554112226,0.0009811674075674859,0.8728462239617176,0.04405008104417552
postgres,total,linear,148840,59,0.7209121763889463,0.7208694059487258,0.0024968544276726423,0.6925769989796489,0.0524875641082386
postgres,total,forest,148840,59,0.9637211499855665,0.9636902001245341,0.0009927244324453345,0.8695386421816889,0.04807766808027605
