driver,phase,parameter,spearman_rho,p_value
mongo,build,collection_size,0.10031514263414637,0.0
mongo,build,depth,0.7117844678244356,0.0
mongo,build,filter_count,-0.38979752195635803,0.0
mongo,exec,collection_size,0.6199964109697789,0.0
mongo,exec,depth,0.3048661600602547,0.0
mongo,exec,filter_count,-0.09869275512958821,0.0
mongo,total,collection_size,0.5968069158047026,0.0
mongo,total,depth,0.34010126355763587,0.0
mongo,total,filter_count,-0.12804047059422075,0.0
neo4j,build,collection_size,0.010600336748352387,6.968328323597552e-05
neo4j,build,depth,-0.04042451224728251,5.2972036714313204e-52
neo4j,build,filter_count,0.14234020105601497,0.0
neo4j,exec,collection_size,0.5074568525204256,0.0
neo4j,exec,depth,0.012478477413227131,1.4730995881223898e-06
neo4j,exec,filter_count,-0.016836412593018612,8.216746736533642e-11
neo4j,total,collection_size,0.5074258209180518,0.0
neo4j,total,depth,0.012300292205238655,2.07547516726732e-06
neo4j,total,filter_count,-0.015926277524795886,7.989460695498357e-10
postgres,build,collection_size,0.0007740090577377619,0.7717017118923464
postgres,build,depth,0.5097786100313633,0.0
postgres,build,filter_count,-0.06865831918122978,2.0220161118553342e-146
postgres,exec,collection_size,0.7532587370203523,0.0
postgres,exec,depth,0.40198530270572996,0.0
postgres,exec,filter_count,-0.18183107858521072,0.0
postgres,total,collection_size,0.7473427406165613,0.0
postgres,total,depth,0.4070861923014939,0.0
postgres,total,filter_count,-0.18010925710314016,0.0
