driver,phase,model_type,log_target,n_rows,n_query_shapes,in_sample_r2,kfold_r2_mean,kfold_r2_std,group_kfold_r2_mean,group_kfold_r2_std
mongo,build,linear,True,144020,59,0.4091080946146476,0.4091062137749814,0.0014331678873119066,0.10487885205766356,0.3577006717757507
mongo,build,forest,True,144020,59,0.9910838368132552,0.991062548802159,0.0010391023971645485,-58.838690417423194,118.62740518880048
mongo,exec,linear,False,148561,59,0.6510533852177267,0.6508900065745062,0.0019465634189935418,0.4209440786395026,0.18261399662708416
mongo,exec,forest,False,148561,59,0.9914365771184289,0.9914272075247557,0.00037779304914850544,0.4005156564516188,0.9321599052384151
mongo,total,linear,False,148570,59,0.5956210906316302,0.5952870352655906,0.0043679483195472255,-0.08459035874399119,0.6170830564408482
mongo,total,forest,False,148570,59,0.9943403783260747,0.9943267090241366,9.938629561049237e-05,0.6982873255646003,0.3032291186924966
neo4j,build,linear,True,140778,59,0.3360686278110516,0.33598835435965746,0.0061683458735325245,0.12967673823418105,0.18348050260341786
neo4j,build,forest,True,140778,59,0.8037614461164644,0.8034943603264096,0.0020631022456908503,0.45542166264435036,0.16507982850536998
neo4j,exec,linear,False,148873,59,0.5783138955370544,0.5782189141412267,0.0018459016091528352,0.4941745649241939,0.10120098340792755
neo4j,exec,forest,False,148873,59,0.923628529762397,0.9195889468021278,0.009318176106832408,0.616726891474042,0.17595699273667528
neo4j,total,linear,False,148863,59,0.5777248806033604,0.5776394551245023,0.0018544020842823031,0.511524603233511,0.07332042786549049
neo4j,total,forest,False,148863,59,0.9233351579648599,0.9215679002038616,0.00458806526775772,0.623871487597252,0.1783962400551924
postgres,build,linear,True,140527,59,0.39686573611844056,0.3967617988924802,0.0029180867893739888,0.21326969041615854,0.17309523666491325
postgres,build,forest,True,140527,59,0.5931526803085888,0.59263015217995,0.0036586525306154193,0.03613109418258529,0.20793422498640926
postgres,exec,linear,False,148787,59,0.7241900436122004,0.7240880129987735,0.0021324120215419165,0.6876869458560585,0.05768502975458847
postgres,exec,forest,False,148787,59,0.9714812087360155,0.971452234100566,0.0006646657588779421,0.8542700414686083,0.07551277851550262
postgres,total,linear,False,148840,59,0.7233250343661883,0.723279417195761,0.0025589657108493697,0.6884946826765942,0.05880013441119647
postgres,total,forest,False,148840,59,0.9703993030383665,0.9703747745707769,0.0008145987454567688,0.8475994129913857,0.06863421052389751
