driver,phase,model_type,n_rows,n_query_shapes,in_sample_r2,kfold_r2_mean,kfold_r2_std,group_kfold_r2_mean,group_kfold_r2_std
mongo,build,linear,144020,59,0.08491505388409604,0.08487630572116041,0.0012522155786689377,-17.497470203504584,19.14738079633268
mongo,build,forest,144020,59,0.27587758157214237,0.2756558349195203,0.0031725637201215863,-28.938484024818734,36.07200571810271
mongo,exec,linear,148561,59,0.3371589506295213,0.33709758114493543,0.001800023680866652,0.22661988733366156,0.20516024477410813
mongo,exec,forest,148561,59,0.5250723397271159,0.5248040863766825,0.003599321858658021,-0.15471523559401168,0.5360409835210741
mongo,total,linear,148570,59,0.22523937319143317,0.22505421929333522,0.0014152398630379612,-0.25643064721663456,0.4644875622070515
mongo,total,forest,148570,59,0.40223499727387857,0.40168953878586483,0.004752831123370899,-1.7193012011311346,1.8834948797690625
neo4j,build,linear,140778,59,0.24525588805207854,0.24510014614340786,0.002700233719749674,0.003257054290469119,0.2625369482826797
neo4j,build,forest,140778,59,0.7747464211012247,0.7746006773265292,0.001634258589151297,0.28389318704805727,0.24152151335910635
neo4j,exec,linear,148873,59,0.5724253778752669,0.5723790011475147,0.0022304727236001744,0.5388641689630193,0.07271882771044176
neo4j,exec,forest,148873,59,0.8807426792818069,0.879739486155167,0.004561820605834979,0.5174257786681309,0.24055661656147265
neo4j,total,linear,148863,59,0.5717430168057314,0.5716885114340796,0.002298677893895641,0.5485091308753034,0.08178467412929673
neo4j,total,forest,148863,59,0.8805531150517888,0.8801141814289963,0.002942712029750973,0.5173229177146815,0.2533228805946965
postgres,build,linear,140527,59,0.38020399626891177,0.38010532879589015,0.0029774999165043613,0.23723762714945978,0.1469133919954913
postgres,build,forest,140527,59,0.5201187155252662,0.5195602486870994,0.00351411567140322,0.04717024632004922,0.16434898244208343
postgres,exec,linear,148787,59,0.7150499452886272,0.7149514488922103,0.001960705522913445,0.6870536524690403,0.06044905811490856
postgres,exec,forest,148787,59,0.9583465127373472,0.9583043745769109,0.0010326480145275091,0.8783931251551562,0.052978750448441456
postgres,total,linear,148840,59,0.7141404513945533,0.7140994968354979,0.002358427212869204,0.6956910366263319,0.05958762853585802
postgres,total,forest,148840,59,0.9572311299420841,0.9571984608836763,0.0007918040758666763,0.882033676002177,0.044243045506176845
