driver,phase,parameter,spearman_rho,p_value
mongo,build,collection_size,0.1116409659974014,0.0
mongo,build,depth,0.6627156529046498,0.0
mongo,build,filter_count,-0.3664618213601459,0.0
mongo,exec,collection_size,0.5570867970539511,0.0
mongo,exec,depth,0.34225994382714187,0.0
mongo,exec,filter_count,-0.13619227694316519,0.0
mongo,total,collection_size,0.5328493685908103,0.0
mongo,total,depth,0.3877534112890935,0.0
mongo,total,filter_count,-0.16978807379795902,0.0
neo4j,build,collection_size,-0.08737375145536841,9.277876209390353e-207
neo4j,build,depth,-0.03894910651855533,1.8276463017250824e-42
neo4j,build,filter_count,0.02649300653637627,1.5765403998940666e-20
neo4j,exec,collection_size,0.4849547477228058,0.0
neo4j,exec,depth,0.0919898130889358,1.728816002596494e-246
neo4j,exec,filter_count,-0.06963332221909951,7.239900524572302e-142
neo4j,total,collection_size,0.48459641031526535,0.0
neo4j,total,depth,0.09155088770893473,3.828420827650651e-244
neo4j,total,filter_count,-0.06913617091333603,7.237713473877997e-140
postgres,build,collection_size,0.022564778926144776,8.949573554540685e-16
postgres,build,depth,0.4409024847657475,0.0
postgres,build,filter_count,-0.13429748629530394,0.0
postgres,exec,collection_size,0.7069216967248625,0.0
postgres,exec,depth,0.5162802548726948,0.0
postgres,exec,filter_count,-0.23622538757893832,0.0
postgres,total,collection_size,0.7006696831698952,0.0
postgres,total,depth,0.5201453251284444,0.0
postgres,total,filter_count,-0.2366085456440529,0.0
