driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
mongo,collection 1 range filter,build,2827.0,26.449593208348073,26.0,5.227369823315178,0.19763516898495456,13.0,33.0,36.0,39.0,40.0
neo4j,collection 1 range filter,build,2906.0,12.915003441156228,10.0,6.286504569901241,0.48675980603056157,4.0,23.0,25.0,31.0,33.0
postgres,collection 1 range filter,build,2881.0,38.90038181187088,37.0,15.768313972920932,0.405351136376483,17.0,64.0,70.0,77.19999999999982,82.0
mongo,collection 1 range filter,exec,2945.0,3379.537860780985,2113.0,2760.2165241516664,0.8167437791372463,599.0,7315.799999999999,7605.0,8832.24,12028.0
neo4j,collection 1 range filter,exec,2917.0,2956.952348303051,2595.0,995.3787121745913,0.33662318323994084,1444.0,4489.4,4709.4,5252.560000000001,6156.0
postgres,collection 1 range filter,exec,2907.0,774.499484004128,584.0,377.939272710934,0.48797872757384514,314.0,1334.4,1572.6999999999998,1779.88,1870.0
mongo,collection 1 range filter,total,2945.0,3407.5293718166386,2138.0,2761.6214551820676,0.8104468527911114,619.0,7345.6,7639.4,8860.56,12082.0
neo4j,collection 1 range filter,total,2917.0,2970.9074391498116,2612.0,993.1340543969576,0.33428643427584,1462.0,4500.8,4720.599999999999,5263.240000000002,6163.0
postgres,collection 1 range filter,total,2903.0,814.0754392008267,641.0,372.03770589848153,0.4570064246916832,367.0,1366.8000000000002,1598.9,1810.98,1898.0
mongo,collection 3 range filter,build,2809.0,27.5062299750801,28.0,5.201911116575951,0.18911756068675137,14.0,34.0,37.0,40.0,41.0
neo4j,collection 3 range filter,build,2887.0,15.218219605126428,12.0,7.261774954146845,0.4771763808494809,4.0,26.0,30.0,35.0,37.0
postgres,collection 3 range filter,build,2898.0,45.39648033126294,43.0,17.84588110999629,0.3931115579836366,17.0,73.0,80.0,92.0,96.0
mongo,collection 3 range filter,exec,2950.0,3453.9759322033897,2162.0,2809.8309050398966,0.8135062201337997,597.0,7484.0,7898.0,8613.55,10462.0
neo4j,collection 3 range filter,exec,2939.0,3125.7373256209594,2556.0,1275.8553325315304,0.4081773993206767,1387.0,5033.0,5301.5,5970.899999999995,7317.0
postgres,collection 3 range filter,exec,2918.0,791.2631939684716,603.0,393.9642591133128,0.4978928150789364,285.0,1449.6000000000004,1581.0,1754.1499999999996,1891.0
mongo,collection 3 range filter,total,2950.0,3486.5505084745764,2190.0,2815.6396220948486,0.8075717289197504,618.0,7516.1,7925.8499999999985,8641.51,14486.0
neo4j,collection 3 range filter,total,2939.0,3142.2204831575364,2571.0,1272.5948033051297,0.40499857031876135,1403.0,5044.200000000002,5311.299999999999,5982.279999999995,7339.0
postgres,collection 3 range filter,total,2911.0,836.8268636207489,663.0,389.38930895829543,0.465316454198783,317.0,1483.0,1622.0,1787.8000000000002,1931.0
mongo,collection all,build,919.0,73.09357997823722,68.0,16.612918304710604,0.2272828654672122,49.0,97.0,106.0,120.0,127.0
neo4j,collection all,build,894.0,26.212527964205815,24.0,7.201749483140755,0.27474456080600135,15.0,38.0,40.34999999999991,45.069999999999936,48.0
postgres,collection all,build,895.0,59.423463687150836,55.0,20.818607966285384,0.350343225966934,33.0,91.0,104.0,118.05999999999995,123.0
mongo,collection all,exec,910.0,1189.3549450549451,1156.0,212.80793479034787,0.17892718710688735,752.0,1483.5,1611.1999999999998,1753.9099999999999,1790.0
neo4j,collection all,exec,889.0,4865.149606299213,4685.0,968.105093449115,0.19898773353149282,2956.0,6266.4000000000015,6786.399999999997,7545.0,7785.0
postgres,collection all,exec,917.0,661.4645583424209,640.0,153.44379402159058,0.2319758361749704,409.0,882.8,952.7999999999997,1055.5600000000004,1116.0
mongo,collection all,total,908.0,1263.0088105726873,1230.0,222.76353873356808,0.17637528485059437,807.0,1579.6000000000001,1700.3,1869.86,1882.0
neo4j,collection all,total,890.0,4896.471910112359,4711.0,978.3189467281522,0.19980078813639163,2973.0,6321.900000000001,6847.549999999999,7614.1,7913.0
postgres,collection all,total,916.0,724.8329694323144,703.5,169.71075826006324,0.2341377467873459,444.0,971.5,1058.25,1164.25,1237.0
