collection_size;result_size;query
100;100;users  , limit: null
100;1;users '_id' = 529f5bac-df25-4ccf-a6c6-9164d339066a .children  , limit: null
100;1;users '_id' = c956ae00-212c-4a63-9932-97cb4d97a2fc .children '_id' = 1f0810f8-8891-4e2b-9c9a-8cbf08fddfca .grand_children '_id' = 65301c95-c00b-43fe-aeb8-379bded3b1bf , limit: null
100;1;users '_id' = 4b731b29-6f82-4492-bb3e-d1ff17d3e52e .children '_id' = c2ba8e3f-eada-4216-9aae-4d588c2176d1 .grand_children '_id' = a45a7a97-250f-458c-992f-8c3d76ef6644 .grand2_children '_id' = 4a8ec017-1f23-4c55-a4b6-883950e0777f , limit: null
100;1;users '_id' = 97008d84-e6df-490a-95df-570f52425bcd .children '_id' = 75245256-917b-494d-b696-f39cfb779c53 .grand_children '_id' = 042d6aae-7a77-4f20-96fa-0b2551f12377 .grand2_children '_id' = 980793c0-cf16-4c97-9599-ab1d82fe56cf .grand3_children '_id' = 2a43bf0a-efca-4bff-a667-766a3cd19163 , limit: null
100;1;users '_id' = f3758232-9b45-4f51-bbd2-47e73f362d63 .children '_id' = e82e43f5-23e0-437f-b79b-a5362d6ca5d6 .grand_children '_id' = d48fa1b5-bbe3-46a1-a3d0-347b0be43588 .grand2_children '_id' = e22e42d5-7f9f-44d3-927d-3ca64d84196c .grand3_children '_id' = 5503400b-2ff6-4621-899b-c420e09bdaba .grand4_children '_id' = ddc62840-ad73-4834-9804-9a84eb08aadf , limit: null
100;1;users '_id' = c40f69c1-6a87-442c-badf-108453ec2cdf .children '_id' = 7401daaa-c8e5-477e-93ab-2f9fb7ef2e65 .grand_children '_id' = 1096dc92-7ee3-4c37-ba06-056b5872a566 .grand2_children '_id' = c358307c-a745-4064-b02b-87e9624d8ace .grand3_children '_id' = 7dec4ce3-8d40-483f-b240-4325247e4874 .grand4_children '_id' = 28d49c20-4534-4e70-81c1-a34dca44d54a .grand5_children '_id' = 1afd9369-e550-4455-9d9c-072244cf8295 , limit: null
100;1;users  .users_owns_pets pets  '_id' = c6178bea-8c45-4852-8586-2d6477f9f344  , limit: null
100;1;users '_id' = b219bbd3-3af1-4223-8be1-85b8837a00f3 .users_owns_pets pets  '_id' = ccc1b9b8-6d4c-475d-98af-53e59ea44a3c  .pets_child '_id' = 0503957a-e9b6-4edb-b352-d4eb65a7b3fc , limit: null
100;1;users '_id' = 964d5936-a7c7-4c01-810f-f5f20a3796d3 .users_owns_pets pets  '_id' = d489e7cc-74d3-4eed-864a-6b3cddd5a09f  .pets_child '_id' = 439ab1f4-a1e6-4ee3-b7e4-8b714822c6c7 .pets_grand_child '_id' = 0530b3fe-eca9-4865-b5b0-0904d2346229 , limit: null
100;1;users '_id' = c956ae00-212c-4a63-9932-97cb4d97a2fc .children '_id' = 1f0810f8-8891-4e2b-9c9a-8cbf08fddfca .children_owns_pets pets  '_id' = a7e9379e-2ad7-4b5f-95ca-edb65579ac15  , limit: null
100;1;users '_id' = 5573a81f-780c-4084-9e05-eed299268aa5 .children '_id' = 5e0e131a-459e-4769-b7d3-cc0e4fcd104d .children_owns_pets pets  '_id' = 3af7ad94-d37a-4b97-9e4d-75694ad99b00  .pets_child '_id' = 18eca071-e724-4765-a521-63503a516e5a , limit: null
