collection_size;result_size;query
100;1;users '_id' = dd6ad849-dc53-46c9-8ed5-80c4e4591789 , limit: null
100;1;users '_id' = aac684d0-bff7-41e3-acf2-4f085db04762 .children '_id' = 2591a4e4-0477-4463-8f56-8d9b0bc2a3e7 , limit: null
100;1;users '_id' = 7556229b-e01b-4009-9602-fa2dc1596577 .children  .grand_children '_id' = 2a142d82-80f4-4033-87f5-19dd09dadcc0 , limit: null
100;1;users '_id' = bab49f7c-5500-434c-9f2d-43beecb198ff .children  .grand_children  .grand2_children '_id' = a062caf0-a0b9-4806-836f-56563a1dc3bb , limit: null
100;1;users  .children  .grand_children  .grand2_children '_id' = 1bd248bd-9866-4066-b11a-d1399e648dd2 .grand3_children  , limit: null
100;1;users  .children '_id' = 4e0e9751-1e95-4dea-902c-47bb183bbfe8 .grand_children  .grand2_children  .grand3_children  .grand4_children  , limit: null
100;1;users  .children '_id' = 9f15e9e6-86b9-43d7-8785-5027fceab35a .grand_children  .grand2_children  .grand3_children  .grand4_children  .grand5_children  , limit: null
100;1;users '_id' = 4e5b0fb7-5f66-4432-9f81-dd4f815c621e .users_owns_pets pets  '_id' = c1162f08-ee62-4172-91da-41efe5ad4e06  , limit: null
100;1;users '_id' = db3006de-f458-4299-b4ff-6d2d3aa65ffe .users_owns_pets pets    .pets_child '_id' = eb377038-4dea-47fd-a2c0-fb92bb05613e , limit: null
100;1;users '_id' = fee5b22e-602f-428e-8e7a-5805774b531d .users_owns_pets pets    .pets_child  .pets_grand_child '_id' = 5c21de4b-beff-4ea9-899b-00fa7c738be8 , limit: null
100;1;users '_id' = b9c02351-b6db-442f-9c15-816dcef44a13 .children '_id' = 7fdec255-0b40-435d-b4d6-bd16cae7270a .children_owns_pets pets  '_id' = b3dd35fb-a5db-439c-8bf6-9cbc12e40cd5  , limit: null
100;1;users '_id' = f04a9299-b102-4d32-9065-fd1ec0e4eded .children  .children_owns_pets pets  '_id' = 1e975585-2782-4277-a469-577c2b3dbc43  .pets_child '_id' = 8e2eaccc-bfd5-47ad-b02f-31a90a9b8415 , limit: null
100;1;users  .children '_id' = 7b412482-c2b6-4a5a-b842-88be9a9bd324 .children_owns_pets pets    .pets_child '_id' = b79fb6f5-d37d-4f8a-b2c6-3c99764daf04 .pets_grand_child  , limit: null
100;1;users '_id' = 2aee2abe-1028-44cd-a41b-26e59c95442b .children  .grand_children '_id' = 8ae8f37f-d756-47d5-a0e0-535ce555d575 .grand_children_owns_pets pets    , limit: null
100;1;users  .children '_id' = ca9dfe3a-f39b-46bf-ba80-6c08c81ee870 .grand_children '_id' = 0beace1d-9fd0-4921-9f06-11869b842234 .grand_children_owns_pets pets  '_id' = ae0db4b7-1b72-49b7-a44b-3d4afbe9c1a7  .pets_child  , limit: null
100;1;users  .children  .grand_children  .grand_children_owns_pets pets    .pets_child  .pets_grand_child '_id' = 6c4b8510-a2e2-42a2-aa8f-8c67ec779671 , limit: null
100;1;users  .children '_id' = b64163a4-db70-422e-8f33-012869ca47c6 .grand_children '_id' = 039195e7-89c5-4b97-8c55-04d48bc45b9f .grand2_children  .grand2_children_owns_pets pets  '_id' = b8a0048a-ceca-4933-ae2b-2d3988036f21  , limit: null
100;1;users  .children  .grand_children  .grand2_children '_id' = 136d12ac-7126-4289-beb3-02d586b58e17 .grand2_children_owns_pets pets    .pets_child  , limit: null
100;1;users  .children  .grand_children  .grand2_children  .grand2_children_owns_pets pets  '_id' = bf0be3ee-4dae-4c98-b7e7-b98e25b36b7d  .pets_child '_id' = 5491b5dc-5027-4d83-9b2c-8b9750f3abd5 .pets_grand_child  , limit: null
100;1;users  .children  .grand_children '_id' = cfd66c7f-bd91-4b0b-b584-c7a24ed36372 .grand2_children  .grand3_children  .grand3_children_owns_pets pets  '_id' = 07b33697-93ca-4526-b7ff-0c661271668c  , limit: null
100;1;users  .children  .grand_children '_id' = 79eb893f-af32-4fbb-b27e-3000253ca2c1 .grand2_children  .grand3_children  .grand3_children_owns_pets pets    .pets_child  , limit: null
100;1;users  .children  .grand_children '_id' = 98589488-b5aa-465f-ab21-de697c6e9b5b .grand2_children  .grand3_children  .grand3_children_owns_pets pets  '_id' = b413b4df-690d-42dc-93bd-7acb5646c2b1  .pets_child  .pets_grand_child  , limit: null
100;1;users  .children  .grand_children  .grand2_children  .grand3_children '_id' = 0b120320-ebcc-453e-9cda-172efffc5314 .grand4_children  .grand4_children_owns_pets pets    , limit: null
100;1;users '_id' = 824e1c3c-fedf-4d92-9d24-2111800e15d1 .children  .grand_children  .grand2_children  .grand3_children  .grand4_children  .grand4_children_owns_pets pets  '_id' = d228858b-a5e5-4f55-aeb3-1c3d1e814101  .pets_child  , limit: null
100;1;users  .children  .grand_children '_id' = e4e8ec50-efdb-4336-bfe1-b7268d747bc6 .grand2_children  .grand3_children  .grand4_children  .grand4_children_owns_pets pets    .pets_child  .pets_grand_child  , limit: null
100;1;users  .children '_id' = a2e6953d-8779-41e2-ba65-21df63c1384e .grand_children  .grand2_children  .grand3_children  .grand4_children  .grand5_children  .grand5_children_owns_pets pets  '_id' = bb5bf0cc-fff7-4d6a-ba74-c3293c9bda6a  , limit: null
100;1;users  .children  .grand_children  .grand2_children  .grand3_children  .grand4_children '_id' = f05e11d6-09d8-4e77-a325-a17b2f72abb2 .grand5_children  .grand5_children_owns_pets pets  '_id' = 353d568a-821b-42b9-ad26-b503014d7881  .pets_child  , limit: null
100;1;users  .children  .grand_children '_id' = 104ab8da-df90-42f3-8d7a-1a0eef024e48 .grand2_children  .grand3_children  .grand4_children  .grand5_children  .grand5_children_owns_pets pets    .pets_child  .pets_grand_child  , limit: null
100;1;pets '_id' = 153cbce9-0a4b-4f12-8d7f-e688138fdba0 .users_owns_pets users  '_id' = e6730a1d-0cee-4bc7-849a-1406815e9642  , limit: null
100;1;pets '_id' = b413b4df-690d-42dc-93bd-7acb5646c2b1 .pets_child '_id' = 8bf67a41-9148-4e37-ad26-46286ba34f38 .users_owns_pets_child users    , limit: null
100;1;pets  .pets_child '_id' = 3136a9cb-eb1f-4110-8690-b5be217422fb .pets_grand_child '_id' = bec5982e-1417-4c76-99e5-ad8e3eb011fa .users_owns_pets_grand_child users    , limit: null
100;1;pets '_id' = 353d568a-821b-42b9-ad26-b503014d7881 .users_owns_pets users    .children '_id' = 589d4745-a9c4-49da-accc-0397636f329c , limit: null
100;1;pets '_id' = 1551b34d-9d75-452b-803c-f10513d7e5b2 .pets_child '_id' = 93b09b09-af9d-43a0-91ff-4eb00e2a208c .users_owns_pets_child users  '_id' = 008822e0-d3bb-45c9-a10c-58acec6d457c  .children  , limit: null
100;1;pets  .pets_child  .pets_grand_child '_id' = c01767dc-a37a-473a-a5de-fa21225e79cd .users_owns_pets_grand_child users    .children '_id' = 744e52f3-1759-4ea6-a3b2-9e06dcbcc883 , limit: null
100;1;pets '_id' = c6972d5f-b747-49e3-97b1-038ceeb54525 .users_owns_pets users  '_id' = 9d52d9cc-fb80-45ea-b7e2-8b85b4c907b4  .children  .grand_children '_id' = 60a674d7-c9dc-439e-b305-2c7bd3b0804c , limit: null
100;1;pets  .pets_child  .users_owns_pets_child users    .children '_id' = 7b412482-c2b6-4a5a-b842-88be9a9bd324 .grand_children '_id' = 362f9e35-eb62-4c4a-a3db-97017924d938 , limit: null
100;1;pets '_id' = 1551b34d-9d75-452b-803c-f10513d7e5b2 .pets_child  .pets_grand_child  .users_owns_pets_grand_child users    .children  .grand_children  , limit: null
100;1;pets  .users_owns_pets users  '_id' = 178c22f7-6722-4855-82e7-007c62f096c0  .children  .grand_children '_id' = fb54dbb4-2ac0-475b-8514-fc5e9e10dcf6 .grand2_children '_id' = 45da1f06-0ac7-45ba-a5c1-7adacee5e877 , limit: null
100;1;pets  .pets_child  .users_owns_pets_child users    .children  .grand_children '_id' = ed52ef2d-907e-4dfa-ba01-22691cedc0fa .grand2_children  , limit: null
