form_id;collectionSize;actual_fastest;actual_fastest_duration;n_drivers_compared;ml_predicted_fastest;ml_pred_duration_postgres;ml_pred_duration_mongo;ml_pred_duration_neo4j;majority_predicted
-9175951337406965087;100;postgres;978.4547368421053;3;postgres;988.4718520739668;4610.503664522179;1752.2225424405485;neo4j
-9175951337406965087;1000;postgres;1195.6336842105263;3;postgres;1274.2059755028224;4850.458225351309;1781.9657864333376;neo4j
-9018611685019991181;100;neo4j;1404.705035971223;3;neo4j;2479.515640852548;7545.75605695681;2020.9070993917628;neo4j
-8980828898780742638;1000;neo4j;1842.5590200445433;3;neo4j;2283.5916707892497;7850.348374819014;2002.4186934174515;neo4j
-8878398820989998606;500;neo4j;1356.9894514767932;3;neo4j;2354.188929538644;2833.8016201571786;1354.312929189901;neo4j
-8878398820989998606;1000;neo4j;1420.4409282700421;3;neo4j;2512.9301092213414;2967.1097095066953;1370.8369536303394;neo4j
-8851419415559083766;1000;postgres;2000.7357142857143;3;postgres;1856.4445504439518;6932.811113362084;2006.565268711226;neo4j
-8851419415559083766;3000;postgres;2470.7755102040815;3;neo4j;2491.409269174742;7466.043470760151;2072.6613664729794;neo4j
-8851419415559083766;15000;postgres;7330.4928425357875;1;neo4j;6301.197581559482;10665.437615148547;2469.2379530435005;neo4j
-8757914087123582176;500;neo4j;1649.447661469933;3;neo4j;2928.696532295477;8736.506541764022;2103.230760904834;neo4j
-8674623534688907109;1000;neo4j;1946.3296213808462;3;neo4j;4148.04309530971;10361.45510220532;2220.1980198930078;neo4j
-8211431013505666067;1000;neo4j;2145.349665924276;3;neo4j;4119.15338355836;9878.868164845268;2165.8747313681383;neo4j
-8030783203558293856;500;neo4j;1321.4321243523316;3;neo4j;1239.576232392555;1419.6356204247259;1142.6473338712954;neo4j
-8030783203558293856;3000;neo4j;1441.9750519750519;3;neo4j;2033.282130806043;2086.1760671723086;1225.2674560734874;neo4j
-7712884023086902558;100;postgres;837.0153074027603;3;postgres;622.1416322955565;2539.537531584994;1500.705538024532;neo4j
-7712884023086902558;500;postgres;1015.1775919732441;3;postgres;749.1345760417144;2646.184003064607;1513.9247575768825;neo4j
-7712884023086902558;1000;postgres;1138.3216256899148;3;postgres;907.8757557244119;2779.4920924141243;1530.4487820173208;neo4j
-7712884023086902558;3000;postgres;1177.6702036134213;3;postgres;1542.8404744552022;3312.72444981219;1596.5448797790743;neo4j
-7712884023086902558;9000;neo4j;1360.3885254151987;3;neo4j;3447.734630647573;4912.421522006389;1794.8331730643347;neo4j
-7711038431031380520;100;neo4j;1648.377232142857;3;neo4j;2729.3651751326047;9186.277569295402;2183.1633896812;neo4j
-7000496661805857474;1000;neo4j;2037.8523206751054;3;neo4j;3912.6129182484865;9162.434991669756;2144.015665576965;neo4j
-7000496661805857474;3000;neo4j;2684.3707627118642;3;neo4j;4547.577636979277;9695.667349067822;2210.111763338719;neo4j
-6797273311895284442;100;neo4j;1594.9472573839662;3;neo4j;2959.6917677860133;8351.638896784812;2120.0998123663535;neo4j
-6647451198889251727;100;neo4j;1475.209109730849;3;neo4j;3081.092151133012;9064.484655873854;2135.166728395514;neo4j
-6647451198889251727;3000;neo4j;2883.2765072765073;3;neo4j;4001.7909932926577;9837.671574101052;2231.006070150056;neo4j
-6635961803189943275;1000;neo4j;1956.3509127789046;3;postgres;1786.744200330129;6455.804057020698;1924.1022130645215;neo4j
-6635961803189943275;3000;neo4j;2766.726101694915;3;neo4j;2421.7089190609195;6989.036414418766;1990.1983108262748;neo4j
-6635961803189943275;9000;neo4j;4922.6;3;neo4j;4326.603075253289;8588.733486612964;2188.486604111535;neo4j
-6635961803189943275;15000;postgres;6605.010803511141;1;neo4j;6231.497231445659;10188.430558807162;2386.7748973967955;neo4j
