driver;form_id;mean;std;count;depth_bucket
mongo;-9220810666684772174;3627.3115789473686;547.4116427422131;950;tief (4+ Segmente)
mongo;-9214582615166348497;5532.753333333333;487.99740684440087;450;tief (4+ Segmente)
mongo;-9203493062042131003;9609.868421052632;3842.3812348329257;950;tief (4+ Segmente)
mongo;-9201414149695320974;3685.4733333333334;485.52934440275516;450;tief (4+ Segmente)
mongo;-9189486890650249090;5824.627368421053;2897.319293702567;950;tief (4+ Segmente)
mongo;-9184342509952197537;4075.9473684210525;468.0643453642759;475;mittel (2-3 Segmente)
mongo;-9184273030035325040;14572.75111111111;675.1213734389105;450;tief (4+ Segmente)
mongo;-9175951337406965087;3387.98;1253.6438743807569;950;mittel (2-3 Segmente)
mongo;-9175930393838634765;5357.566666666667;566.2445199270708;450;tief (4+ Segmente)
mongo;-9174284291740939398;3518.516842105263;388.40301930629346;950;tief (4+ Segmente)
mongo;-9172142800780904043;10360.487692307692;8392.4425394482;1950;tief (4+ Segmente)
mongo;-9170050337977141023;3452.513913043478;556.3883884510727;3450;tief (4+ Segmente)
mongo;-9160123264818750988;6777.3421052631575;3940.3477268442407;950;tief (4+ Segmente)
mongo;-9156189530701197677;2377.2806896551724;578.9145841677495;1450;tief (4+ Segmente)
mongo;-9141858806667126421;4251.365517241379;3272.903194370573;1450;mittel (2-3 Segmente)
mongo;-9139873533629146658;6857.095789473684;2819.774431465171;950;tief (4+ Segmente)
mongo;-9118077925811008863;2305.319487179487;717.9182378115177;1950;tief (4+ Segmente)
mongo;-9117595604296714045;4704.042222222222;516.7665362634584;450;tief (4+ Segmente)
mongo;-9107689034487902426;5280.49724137931;1705.6677671042564;1450;tief (4+ Segmente)
mongo;-9106386872253144930;2556.932631578947;260.4146723370437;950;tief (4+ Segmente)
mongo;-9099807924756500148;26120.85234899329;1032.4729556551426;447;tief (4+ Segmente)
mongo;-9099558358969109853;5855.645263157895;496.859856520725;950;tief (4+ Segmente)
mongo;-9098418040985425070;1628.6669406392693;404.7427659377163;10950;mittel (2-3 Segmente)
mongo;-9092797579576274550;4043.7431578947367;596.4403004161522;950;tief (4+ Segmente)
mongo;-9088512481536411017;3443.36966507177;505.52224639527003;10450;tief (4+ Segmente)
mongo;-9082133488132192081;3418.961052631579;730.017801909871;950;tief (4+ Segmente)
mongo;-9071152264543309757;2122.297777777778;287.6375321193188;450;flach (<=1 Segment)
mongo;-9064518402238819992;3424.9088888888887;610.3707575019153;450;tief (4+ Segmente)
mongo;-9063743662860637297;6858.804081632653;696.4449404220727;980;tief (4+ Segmente)
mongo;-9055068252067126657;3556.568888888889;358.1596375622443;450;tief (4+ Segmente)
mongo;-9049252927181678069;17276.94;784.3552178385479;450;tief (4+ Segmente)
mongo;-9048272781892256286;3123.213333333333;338.3521232197383;450;tief (4+ Segmente)
mongo;-9043494540698518000;3065.2732203389833;514.6247803584383;2950;tief (4+ Segmente)
mongo;-9039674123245801664;4601.016393442623;534.7464652258725;488;mittel (2-3 Segmente)
mongo;-9038032364799063184;24873.74099099099;1317.1619048366683;444;tief (4+ Segmente)
mongo;-9035168799984503103;9109.663223140496;673.304763510542;484;tief (4+ Segmente)
mongo;-9018611685019991181;2395.972307692308;323.464352158563;975;tief (4+ Segmente)
mongo;-9018511473431277280;12859.18124341412;8739.731624360686;949;tief (4+ Segmente)
mongo;-8980828898780742638;5452.437777777778;496.9591379190022;450;tief (4+ Segmente)
mongo;-8970604619785613911;6753.338159255429;1212.0499627647448;967;tief (4+ Segmente)
mongo;-8969390127088813808;3305.1096525096527;514.7529724236688;12950;tief (4+ Segmente)
mongo;-8968008738465313322;9828.456734693878;5292.932216678461;2450;mittel (2-3 Segmente)
mongo;-8963022156125775533;6344.486206896552;2527.8582560091313;1450;tief (4+ Segmente)
mongo;-8960757118882317094;4107.56;385.91583397567473;450;tief (4+ Segmente)
mongo;-8959605807858275616;16502.94210526316;1166.8930755442877;950;tief (4+ Segmente)
mongo;-8959222960077983007;4061.1466666666665;408.1554474824231;450;tief (4+ Segmente)
mongo;-8948470440533587388;7353.701538461539;591.4057402818206;975;tief (4+ Segmente)
mongo;-8936405626435660978;6926.377371273713;1224.1780957184042;1476;tief (4+ Segmente)
mongo;-8932492692130618805;3640.342247191011;521.8777406728797;4450;tief (4+ Segmente)
mongo;-8931269497419999249;17287.408888888887;930.5834445978306;450;tief (4+ Segmente)
mongo;-8926221603260559296;5272.404444444444;564.6952789862677;450;tief (4+ Segmente)
mongo;-8925620858352425577;9476.737110770802;7334.838982533955;1959;tief (4+ Segmente)
mongo;-8922075615958430308;8878.833333333334;670.7791110439546;450;tief (4+ Segmente)
mongo;-8911161231459864148;8514.593333333334;834.6092861540193;450;tief (4+ Segmente)
mongo;-8907693545473358022;3893.720606060606;492.2947755247135;4950;tief (4+ Segmente)
mongo;-8905251576138390043;8096.227614490773;5418.591553866778;1463;tief (4+ Segmente)
mongo;-8897868829347026151;18891.34222222222;931.2914199667775;450;tief (4+ Segmente)
mongo;-8886513905334622269;2892.882222222222;324.4403190398177;450;tief (4+ Segmente)
