singleCollectionSegmentCount;pairCollectionSegmentCount;connectionSegmentCount;multiQueryCount;rootIdFilterCount;rootValueInListFilterCount;rootEqualityFilterCount;rootNumberRangeFilterCount;nestedIdFilterCount;nestedValueInListFilterCount;nestedEqualityFilterCount;nestedNumberRangeFilterCount;firstFilterDepth;onlyResultFraction;dynamicFilterFraction;dynamicResultFraction;simpleDriverChoice
1;0;0;1;0;0;0;0;0;0;0;0;1;1.0;0.0;0.0;postgres
0;1;0;1;1;0;0;0;0;0;0;0;0;0.0;0.0;1.0;mongo
1;1;0;2;2;0;0;0;1;0;0;0;0;0.3333333333333333;0.0;0.6666666666666666;mongo
0;2;0;2;2;0;0;0;2;0;0;0;0;0.5;0.0;0.5;mongo
1;2;0;3;3;0;0;0;2;0;0;0;0;0.2;0.0;0.8;mongo
0;3;0;3;3;0;0;0;3;0;0;0;0;0.0;0.0;1.0;mongo
1;3;0;4;4;0;0;0;3;0;0;0;0;0.5714285714285714;0.0;0.42857142857142855;mongo
0;0;1;1;0;0;0;0;1;0;0;0;1;0.0;0.0;1.0;neo4j
1;0;1;2;2;0;0;0;1;0;0;0;0;0.5;0.0;0.75;neo4j
0;1;1;2;2;0;0;0;2;0;0;0;0;1.0;0.0;0.6;neo4j
0;1;1;2;1;0;0;0;3;0;0;0;0;0.75;0.0;0.5;mongo
1;1;1;3;2;0;0;0;3;0;0;0;0;0.0;0.0;1.0;mongo
0;2;1;3;2;0;0;0;4;0;0;0;0;0.3333333333333333;0.0;0.6666666666666666;mongo
1;1;1;2;2;0;0;0;3;0;0;0;0;0.6;0.0;0.6;mongo
2;1;1;3;3;0;0;0;3;0;0;0;0;0.5;0.0;0.6666666666666666;mongo
1;2;1;3;3;0;0;0;4;0;0;0;0;0.14285714285714285;0.0;1.0;mongo
0;2;1;3;2;0;0;0;4;0;0;0;0;0.16666666666666666;0.0;0.8333333333333334;mongo
1;2;1;4;3;0;0;0;4;0;0;0;0;0.2857142857142857;0.0;0.7142857142857143;mongo
0;3;1;4;3;0;0;0;5;0;0;0;0;0.125;0.0;1.0;mongo
1;2;1;3;3;0;0;0;4;0;0;0;0;0.42857142857142855;0.0;0.7142857142857143;mongo
2;2;1;4;4;0;0;0;4;0;0;0;0;0.5;0.0;0.625;mongo
1;3;1;4;4;0;0;0;5;0;0;0;0;0.2222222222222222;0.0;0.7777777777777778;mongo
0;3;1;4;3;0;0;0;5;0;0;0;0;0.0;0.0;1.0;mongo
1;3;1;5;4;0;0;0;5;0;0;0;0;0.0;0.0;1.0;mongo
0;4;1;5;4;0;0;0;6;0;0;0;0;0.2;0.0;0.9;mongo
1;3;1;4;4;0;0;0;5;0;0;0;0;0.3333333333333333;0.0;0.6666666666666666;mongo
2;3;1;5;5;0;0;0;5;0;0;0;0;0.3;0.0;0.8;mongo
1;4;1;5;5;0;0;0;6;0;0;0;0;0.36363636363636365;0.0;0.6363636363636364;mongo
0;0;1;1;0;0;0;0;0;0;0;0;2;0.6666666666666666;0.0;0.3333333333333333;postgres
0;1;1;2;1;0;0;0;3;0;0;0;0;0.5;0.0;0.5;mongo
1;1;1;2;2;0;0;0;3;0;0;0;0;0.2;0.0;1.0;mongo
1;0;1;2;2;0;0;0;1;0;0;0;0;0.75;0.0;0.25;neo4j
1;1;1;3;2;0;0;0;3;0;0;0;0;0.0;0.0;1.0;mongo
2;1;1;3;3;0;0;0;3;0;0;0;0;0.6666666666666666;0.0;0.6666666666666666;mongo
0;1;1;2;2;0;0;0;2;0;0;0;0;0.4;0.0;0.6;neo4j
0;2;1;3;2;0;0;0;4;0;0;0;0;0.3333333333333333;0.0;1.0;mongo
