query_shape,phase,driver_a,driver_b,median_a,median_b,p_value,cliffs_delta
collection collect 1 filter,build,mongo,neo4j,33.0,1985.5,0.0,-1.0
collection collect 1 filter,build,mongo,postgres,33.0,71.0,0.0,-0.9981823963776297
collection collect 1 filter,build,neo4j,postgres,1985.5,71.0,0.0,1.0
collection collect 2 filter,build,mongo,neo4j,24.0,1673.0,0.0,-1.0
collection collect 2 filter,build,mongo,postgres,24.0,51.0,0.0,-0.8559260649420384
collection collect 2 filter,build,neo4j,postgres,1673.0,51.0,0.0,1.0
collection collect 3 filter,build,mongo,neo4j,22.0,1685.0,0.0,-1.0
collection collect 3 filter,build,mongo,postgres,22.0,42.0,0.0,-0.9712759484825484
collection collect 3 filter,build,neo4j,postgres,1685.0,42.0,0.0,1.0
collection collect all,build,mongo,neo4j,107.0,2865.0,8.226104870293804e-297,-1.0
collection collect all,build,mongo,postgres,107.0,111.5,0.9085920347615398,0.0031683137385581438
collection collect all,build,neo4j,postgres,2865.0,111.5,2.9816709134690297e-295,1.0
connection collect all,build,mongo,neo4j,812.0,3056.0,9.294003307593151e-291,-1.0
connection collect all,build,mongo,postgres,812.0,192.0,1.4440669399870518e-289,1.0
connection collect all,build,neo4j,postgres,3056.0,192.0,1.50981895489748e-302,1.0
connection filter near node and edge,build,mongo,neo4j,521887.5,39201.5,0.9141000203287375,0.0019950032873109797
connection filter near node and edge,build,mongo,postgres,521887.5,301.0,6.034490210180075e-162,0.5017968492518621
connection filter near node and edge,build,neo4j,postgres,39201.5,301.0,1.1967347720910124e-199,0.557834816426076
connection filter on edge property,build,mongo,neo4j,630913.5,43885.5,0.8170858507549479,0.004277449046679816
connection filter on edge property,build,mongo,postgres,630913.5,331.0,5.262102202482988e-163,0.5038478729453458
connection filter on edge property,build,neo4j,postgres,43885.5,331.0,8.005176809570075e-167,0.5097885507993811
connection filter on far node,build,mongo,neo4j,2625.0,567.0,0.9190435381424769,0.0018928672803211549
connection filter on far node,build,mongo,postgres,2625.0,50.0,0.0,1.0
connection filter on far node,build,neo4j,postgres,567.0,50.0,0.0,1.0
deep schema shallow query 2 hop,build,mongo,neo4j,15652.5,13564.5,0.9779323231485527,0.0005117685733070349
deep schema shallow query 2 hop,build,mongo,postgres,15652.5,112.0,7.581160091388829e-71,0.3306130268199234
deep schema shallow query 2 hop,build,neo4j,postgres,13564.5,112.0,0.0,0.9757516812689226
deep sub collection collect all,build,mongo,neo4j,912.0,2814.0,4.391543694181373e-283,-1.0
deep sub collection collect all,build,mongo,postgres,912.0,162.0,2.0635174318653248e-278,1.0
deep sub collection collect all,build,neo4j,postgres,2814.0,162.0,1.6479169438495287e-286,1.0
deep sub collection filter every level,build,mongo,neo4j,73216.5,11266.5,0.9352571592097649,0.0015024326101249178
deep sub collection filter every level,build,mongo,postgres,73216.5,193.0,6.242275813943087e-163,0.5035303282368164
deep sub collection filter every level,build,neo4j,postgres,11266.5,193.0,0.0,0.9920813858300985
deep sub collection leaf filter,build,mongo,neo4j,498062.0,2674.0,0.924750508750227,0.0017471155490652668
deep sub collection leaf filter,build,mongo,postgres,498062.0,193.0,1.2813910315629003e-169,0.5144910926287025
deep sub collection leaf filter,build,neo4j,postgres,2674.0,193.0,0.0,0.979107170775096
sub collection collect 1 filter,build,mongo,neo4j,15036.0,8874.0,0.9567325441435,0.0010035502958579883
sub collection collect 1 filter,build,mongo,postgres,15036.0,146.5,8.364261768337612e-88,0.3681761957848914
sub collection collect 1 filter,build,neo4j,postgres,8874.0,146.5,0.0,0.9904435419652811
sub collection collect 2 filter,build,mongo,neo4j,743.0,17703.0,0.8853823589491425,-0.002668991664354879
sub collection collect 2 filter,build,mongo,postgres,743.0,167.0,2.3534345686009955e-140,0.468440019537392
sub collection collect 2 filter,build,neo4j,postgres,17703.0,167.0,0.0,0.8111573759573759
sub collection collect 2 filter parent 1 filter,build,mongo,neo4j,200.0,4123.5,7.872810670578254e-165,-0.5061622746368509
sub collection collect 2 filter parent 1 filter,build,mongo,postgres,200.0,113.0,2.2966993733403738e-76,0.3427173400909218
sub collection collect 2 filter parent 1 filter,build,neo4j,postgres,4123.5,113.0,0.0,0.9996720703538885
sub collection collect 2 filter parent 2 filter,build,mongo,neo4j,461.0,5470.5,2.0165245764892745e-162,-0.502279143808133
sub collection collect 2 filter parent 2 filter,build,mongo,postgres,461.0,107.0,7.737169540777969e-55,0.28898355083041327
sub collection collect 2 filter parent 2 filter,build,neo4j,postgres,5470.5,107.0,0.0,0.9989870801033591
sub collection collect 3 filter,build,mongo,neo4j,2382.0,21430.0,0.9623275838509336,0.0008738208943442397
sub collection collect 3 filter,build,mongo,postgres,2382.0,157.5,1.2366786394123127e-164,0.5097342009604708
sub collection collect 3 filter,build,neo4j,postgres,21430.0,157.5,1.234005628945151e-302,0.6930571157237824
sub collection collect all,build,mongo,neo4j,506.0,2390.0,5.99213517299438e-295,-1.0
sub collection collect all,build,mongo,postgres,506.0,178.0,2.9809423422208933e-295,1.0
sub collection collect all,build,neo4j,postgres,2390.0,178.0,4.52370610618923e-309,1.0
