driver,phase,parameter,spearman_rho,p_value
mongo,build,collection_size,0.40595735682472867,3.4058346054610295e-91
mongo,build,depth,0.3236044464531222,9.834326803731749e-57
mongo,build,filter_count,-0.16539670365088066,1.894663691970571e-15
mongo,exec,collection_size,0.8585706361801326,0.0
mongo,exec,depth,-0.04374086826233928,0.03614271781861126
mongo,exec,filter_count,-0.05820333614311136,0.005284760386321563
mongo,total,collection_size,0.8246328266077192,0.0
mongo,total,depth,0.009555977993009664,0.6475618753840702
mongo,total,filter_count,-0.08236114929798194,7.922865131160408e-05
neo4j,build,collection_size,-0.10393963808565268,1.0602835083506936e-06
neo4j,build,depth,-0.37490988228840344,3.3499398557600704e-74
neo4j,build,filter_count,-0.12557506064198826,3.5624630920386553e-09
neo4j,exec,collection_size,0.6058346927244668,3.2329345431038874e-228
neo4j,exec,depth,-0.03775477768385899,0.07166625508764428
neo4j,exec,filter_count,0.0456464960974132,0.029398952472525896
neo4j,total,collection_size,0.6050285425442884,1.8682438427800028e-227
neo4j,total,depth,-0.041111226429892324,0.04982139023120031
neo4j,total,filter_count,0.044396946852776814,0.03414025443191626
postgres,build,collection_size,-0.3781658508147657,3.021944035263503e-77
postgres,build,depth,-0.20613502557887373,5.747289441322417e-23
postgres,build,filter_count,-0.0523882012943542,0.013044565517904807
postgres,exec,collection_size,0.6596409667313766,2.32099473864316e-283
postgres,exec,depth,0.16940730880512345,4.581984693336775e-16
postgres,exec,filter_count,-0.018082408871985554,0.38937924325282597
postgres,total,collection_size,0.6418744072252646,2.668683391106455e-264
postgres,total,depth,0.1635226396264126,4.281483264551536e-15
postgres,total,filter_count,-0.011790821082084926,0.5741343529638597
