driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
mongo,collection 1 range filter,build,2808.0,26.976495726495727,26.0,6.783969891944986,0.2514770621330894,13.0,37.0,40.0,45.0,47.0
neo4j,collection 1 range filter,build,2933.0,16.850664848278214,11.0,10.740308477643172,0.6373818822193599,3.0,31.0,35.0,44.0,54.0
postgres,collection 1 range filter,build,2917.0,40.37949948577305,34.0,20.533178461193515,0.5085050266268899,16.0,71.0,78.0,96.0,106.0
mongo,collection 1 range filter,exec,2950.0,3729.7830508474576,2325.5,2992.6093106149287,0.8023547937821657,684.0,8224.2,8684.049999999997,9449.079999999998,10497.0
neo4j,collection 1 range filter,exec,2920.0,3476.894178082192,3450.0,882.1475520748967,0.25371711271393294,1766.0,4673.1,5012.099999999999,5531.919999999998,6186.0
postgres,collection 1 range filter,exec,2909.0,797.3674802337573,586.0,410.83387212190627,0.5152378072923988,319.0,1485.2000000000003,1641.0,1839.6800000000003,1971.0
mongo,collection 1 range filter,total,2950.0,3759.534915254237,2350.5,2988.0540978922604,0.7947935490021096,704.0,8249.3,8713.749999999998,9479.609999999997,10525.0
neo4j,collection 1 range filter,total,2920.0,3494.6318493150684,3482.0,881.2143108287904,0.25216227311655287,1772.0,4683.1,5026.099999999999,5551.86,6193.0
postgres,collection 1 range filter,total,2898.0,835.6973775017253,640.0,398.7464659155071,0.47714217688170724,361.0,1505.3000000000002,1660.4500000000003,1839.1200000000008,1974.0
mongo,collection 3 range filter,build,2820.0,27.653191489361703,26.0,7.257754382670683,0.26245630221245064,13.0,39.0,42.0,46.0,48.0
neo4j,collection 3 range filter,build,2910.0,15.193127147766322,11.0,8.984449775011038,0.5913496074658944,4.0,29.0,33.0,40.0,44.0
postgres,collection 3 range filter,build,2929.0,45.16831683168317,40.0,21.83391747071887,0.4833901062127588,17.0,79.0,85.0,99.0,113.0
mongo,collection 3 range filter,exec,2947.0,3909.344757380387,2273.0,3261.3301080856268,0.8342395747851646,654.0,8838.4,9275.8,10077.379999999997,12595.0
neo4j,collection 3 range filter,exec,2926.0,3454.496240601504,2904.5,1268.9332527028055,0.36732801668409293,1707.0,5421.5,5695.0,6365.5,7757.0
postgres,collection 3 range filter,exec,2905.0,823.3573149741825,602.0,427.4298659734969,0.5191304652305172,286.0,1506.0,1686.7999999999997,1957.7600000000002,2047.0
mongo,collection 3 range filter,total,2947.0,3941.4007465218865,2301.0,3259.1316007193263,0.8268967837374485,673.0,8862.2,9300.0,10103.219999999998,12637.0
neo4j,collection 3 range filter,total,2926.0,3470.753246753247,2922.5,1266.3618488624854,0.36486657472613965,1714.0,5430.0,5705.25,6373.5,7767.0
postgres,collection 3 range filter,total,2891.0,864.4441369768247,662.0,415.22233412611075,0.48033449052965543,325.0,1531.0,1713.5,1934.8999999999992,2055.0
mongo,collection all,build,887.0,67.32356257046223,63.0,14.260164785482552,0.21181536212611402,46.0,89.0,96.0,106.0,114.0
neo4j,collection all,build,916.0,24.155021834061134,21.0,8.312738719991454,0.3441412215272608,14.0,37.0,42.0,46.0,49.0
postgres,collection all,build,906.0,64.29359823399558,58.0,27.851736565075065,0.4331961086344723,31.0,111.0,123.0,138.95000000000005,146.0
mongo,collection all,exec,919.0,1168.4047878128401,1137.0,228.25438122379597,0.1953555682111418,722.0,1501.2,1627.0,1739.82,1820.0
neo4j,collection all,exec,907.0,4916.280044101433,4670.0,1177.7532764583534,0.23956187725136308,2886.0,6625.4,7506.7,8081.76,8226.0
postgres,collection all,exec,935.0,679.9700534759359,665.0,167.10005196818508,0.24574619295950914,411.0,919.6,993.5999999999995,1111.98,1155.0
mongo,collection all,total,916.0,1241.8602620087336,1205.0,243.92769266683794,0.19642120786784825,782.0,1602.0,1713.0,1851.1000000000001,1926.0
neo4j,collection all,total,908.0,4945.343612334802,4689.0,1189.5081167692485,0.2405309337459074,2903.0,6664.800000000001,7568.849999999999,8166.639999999998,8315.0
postgres,collection all,total,927.0,744.336569579288,724.0,187.3671537743195,0.25172369789680316,448.0,1011.4,1109.3999999999999,1213.66,1285.0
mongo,collection equality,build,2928.0,69.0160519125683,45.0,48.396093230332546,0.7012295239901905,15.0,151.0,159.0,179.73000000000002,231.0
neo4j,collection equality,build,2895.0,14.85768566493955,8.0,11.95458126833799,0.8046058812879474,2.0,34.59999999999991,39.0,46.059999999999945,52.0
postgres,collection equality,build,2829.0,31.505832449628844,30.0,12.66856853119663,0.4021023266549452,11.0,50.0,58.0,66.0,70.0
mongo,collection equality,exec,2948.0,4146.944369063772,2486.5,3325.7146018239005,0.8019674984390314,568.0,8993.3,9461.550000000001,10374.780000000006,13170.0
neo4j,collection equality,exec,2909.0,3608.7449295290476,2916.0,1456.3845243091127,0.403570923617252,1567.0,5524.200000000001,5916.6,7654.240000000002,8818.0
postgres,collection equality,exec,2907.0,874.2432060543516,735.0,430.7631151105583,0.4927268660796179,197.0,1503.8000000000002,1719.3999999999996,1976.980000000001,2205.0
mongo,collection equality,total,2948.0,4221.4331750339215,2531.5,3373.4289363409966,0.7991193503409868,591.0,9126.900000000001,9597.650000000001,10515.060000000001,13216.0
neo4j,collection equality,total,2908.0,3624.159559834938,2940.5,1455.1349987038254,0.4015096395949243,1583.0,5535.3,5925.950000000001,7661.389999999996,8741.0
postgres,collection equality,total,2902.0,909.0844245348036,775.5,431.0533846830793,0.47416210535524,222.0,1534.8000000000002,1745.0,2017.0,2228.0
mongo,collection get by id,build,2924.0,15.685704514363884,15.0,5.65298725895865,0.3603910333630239,4.0,23.0,25.0,29.769999999999982,33.0
neo4j,collection get by id,build,2924.0,11.19015047879617,7.0,8.334486149030724,0.744805547058858,2.0,24.0,27.0,32.76999999999998,37.0
postgres,collection get by id,build,2887.0,27.753377208174577,24.0,12.563000000527078,0.4526656307912944,11.0,46.0,52.0,62.13999999999987,65.0
mongo,collection get by id,exec,2915.0,540.238421955403,527.0,130.98732209912686,0.2424620626297104,267.0,718.5999999999999,772.0,877.3000000000006,946.0
neo4j,collection get by id,exec,2943.0,1600.3510023785252,1505.0,628.9152159737092,0.3929857981398972,645.0,2458.0,2693.8,3142.58,3586.0
postgres,collection get by id,exec,2911.0,376.109927859842,370.0,87.15949519378057,0.23173941642471269,192.0,503.0,535.0,588.0,626.0
mongo,collection get by id,total,2914.0,556.5147563486616,543.0,135.78999995219013,0.24400071768648024,279.0,740.0,796.3499999999999,901.2199999999993,977.0
neo4j,collection get by id,total,2943.0,1613.737003058104,1511.0,638.3287759880276,0.3955593599070765,650.0,2481.0,2718.8,3176.58,3649.0
postgres,collection get by id,total,2914.0,405.6557995881949,397.0,97.16293019518805,0.2395206238733031,206.0,544.0,582.3499999999999,649.8699999999999,692.0
mongo,collection id in list,build,2773.0,23.86657050126217,23.0,5.48007775449714,0.22961312159228445,13.0,32.0,35.0,39.0,40.0
neo4j,collection id in list,build,2864.0,15.178072625698324,10.0,9.370869595853883,0.6173952271112381,5.0,30.0,34.0,41.0,44.0
postgres,collection id in list,build,2861.0,34.46871723173715,31.0,13.334959183696563,0.3868713504492812,16.0,54.0,61.0,71.0,76.0
mongo,collection id in list,exec,2832.0,889.7344632768362,863.0,171.75778982855653,0.1930438764797121,498.0,1131.0,1222.4499999999998,1346.38,1417.0
neo4j,collection id in list,exec,2846.0,1917.852424455376,1818.5,468.9466474756528,0.24451654438887413,994.0,2593.0,2810.0,3167.55,3323.0
postgres,collection id in list,exec,2798.0,596.971050750536,570.0,131.0502263864325,0.21952526210721757,333.0,794.3000000000002,874.0,948.0300000000002,969.0
mongo,collection id in list,total,2834.0,915.2702893436839,888.0,176.30788355964572,0.19262930919135532,515.0,1161.0,1258.35,1386.67,1451.0
neo4j,collection id in list,total,2844.0,1934.7443741209563,1830.5,478.1525691754359,0.24713991965614715,1001.0,2627.7000000000003,2855.85,3206.57,3399.0
postgres,collection id in list,total,2819.0,636.5005321035828,608.0,139.01341867260135,0.21840267472074726,350.0,846.0,932.0,1007.0,1024.0
mongo,connection all,build,808.0,1325.1324257425742,1313.0,49.10286638823591,0.03705506365578502,1240.0,1394.3000000000002,1433.6,1493.86,1511.0
neo4j,connection all,build,790.0,11.149367088607596,11.0,2.0966430660567825,0.1880504112380629,7.0,14.0,15.0,19.0,20.0
postgres,connection all,build,924.0,74.46861471861472,66.0,19.811136701542235,0.2660333722656197,47.0,101.0,110.0,134.76999999999998,144.0
mongo,connection all,exec,923.0,1257.6847237269772,1201.0,179.9257476839112,0.14306109018381474,988.0,1515.6000000000001,1615.0,1761.4599999999998,1812.0
neo4j,connection all,exec,905.0,2891.1900552486186,2854.0,308.0900255429338,0.10656166480084292,2098.0,3333.2000000000003,3473.8,3690.84,3800.0
postgres,connection all,exec,907.0,1203.7034178610804,1195.0,159.6426445936448,0.13262622854167985,958.0,1432.8,1532.0,1633.94,1664.0
mongo,connection all,total,919.0,2645.032644178455,2564.0,266.3262226767513,0.10068920066560161,2272.0,3040.2,3218.2,3364.0,3437.0
neo4j,connection all,total,905.0,2906.0839779005523,2866.0,309.1961523677584,0.10639615190719008,2108.0,3349.6,3489.0,3702.76,3826.0
postgres,connection all,total,905.0,1280.1447513812154,1268.0,165.65426745105162,0.1294027626737668,1010.0,1512.2,1619.9999999999998,1728.92,1751.0
mongo,connection equality,build,2944.0,738.8318614130435,587.0,535.2224924926683,0.7244171785838192,165.0,1416.7000000000003,1691.2499999999995,1996.1400000000003,2846.0
neo4j,connection equality,build,2882.0,11.142262317834836,11.0,2.64408940170516,0.2373027421435685,5.0,15.0,16.0,18.0,19.0
postgres,connection equality,build,2601.0,45.610534409842366,42.0,9.686637730502188,0.21237720311410985,28.0,66.0,69.0,73.0,75.0
mongo,connection equality,exec,2950.0,4669.434576271186,2714.5,4231.738156436825,0.9062635073508435,597.0,11057.1,11550.099999999999,12490.51,13595.0
neo4j,connection equality,exec,2950.0,3415.6369491525425,2624.5,1926.366949907083,0.5639846911672026,1048.0,6300.1,6583.549999999999,7360.259999999994,10788.0
postgres,connection equality,exec,2950.0,2057.04813559322,1534.0,1342.3364765960837,0.6525547231343592,537.0,3965.0,4124.749999999998,4908.689999999995,6560.0
mongo,connection equality,total,2950.0,5414.017966101695,3276.5,4736.796982575488,0.8749134214613935,767.0,12498.1,13023.0,13925.0,15607.0
neo4j,connection equality,total,2950.0,3427.637627118644,2635.5,1927.7582921891158,0.5624160141483907,1057.0,6319.0,6596.549999999999,7374.789999999994,10801.0
postgres,connection equality,total,2950.0,2109.0240677966103,1585.0,1342.1624864919354,0.6363903129347174,578.0,4013.0,4179.0,4962.0199999999995,6602.0
mongo,connection filter near node and edge,build,2945.0,245.99762308998302,231.0,78.82522499106398,0.3204308399444601,128.0,352.0,370.0,411.7999999999997,482.0
neo4j,connection filter near node and edge,build,2914.0,14.132463967055594,14.0,3.534483596038921,0.25009677040593986,5.0,19.0,20.0,22.0,26.0
postgres,connection filter near node and edge,build,2935.0,61.96626916524702,54.0,19.43499521675903,0.3136382983608588,32.0,90.0,95.0,110.0,123.0
mongo,connection filter near node and edge,exec,2950.0,6125.8013559322035,3648.5,5594.26881828682,0.9132305298913015,637.0,14669.3,15450.55,16336.079999999998,17777.0
neo4j,connection filter near node and edge,exec,2950.0,6131.926101694915,3921.0,4845.625256816523,0.7902289062937585,1058.0,13759.8,14486.65,15757.669999999996,22120.0
postgres,connection filter near node and edge,exec,2950.0,1553.0722033898305,1469.0,727.7717446536855,0.46860135869099084,487.0,2582.0,2701.5499999999997,2902.549999999999,3499.0
mongo,connection filter near node and edge,total,2950.0,6372.863050847458,3950.5,5622.064034289687,0.8821881137932298,793.0,14947.0,15754.899999999994,16649.199999999997,18168.0
neo4j,connection filter near node and edge,total,2950.0,6146.829152542373,3938.5,4847.020940739134,0.7885400456810112,1070.0,13779.8,14504.3,15774.669999999996,22137.0
postgres,connection filter near node and edge,total,2949.0,1617.088504577823,1536.0,731.3166825642959,0.4522428305525692,529.0,2648.2000000000003,2774.6,2984.04,3556.0
mongo,connection filter on edge property,build,2943.0,264.1444104655114,214.0,93.08180730029716,0.3523898428751745,146.0,402.0,418.0,456.0,562.0
neo4j,connection filter on edge property,build,2900.0,12.859310344827586,12.0,3.0816528930968414,0.23964371420092354,5.0,17.0,18.0,20.0,21.0
postgres,connection filter on edge property,build,2900.0,74.1451724137931,67.0,25.47056876480013,0.3435229555156026,35.0,116.0,125.0,137.0,143.0
mongo,connection filter on edge property,exec,2950.0,6132.034237288136,3715.5,5533.431050143095,0.902380977668877,653.0,14560.2,15347.999999999995,16348.319999999992,22042.0
neo4j,connection filter on edge property,exec,2950.0,5756.334237288135,3547.0,4601.9183418114435,0.7994529421174563,1159.0,13217.1,13762.199999999999,14958.319999999992,19842.0
