query;driver;collectionSize;singleCollectionSegmentCount;pairCollectionSegmentCount;connectionSegmentCount;multiQueryCount;rootIdFilterCount;rootValueInListFilterCount;rootEqualityFilterCount;rootNumberRangeFilterCount;nestedIdFilterCount;nestedValueInListFilterCount;nestedEqualityFilterCount;nestedNumberRangeFilterCount;firstFilterDepth;onlyResultFraction;dynamicFilterFraction;dynamicResultFraction;phase;iteration;duration
users  [name, age, _id], limit: null;postgres;100;1;0;0;1;0;0;0;0;0;0;0;0;1;1.0;0.0;0.0;build;1;0s
users '_id' = 5094a4b9-5136-44fb-b17c-8118925139cb .children  , limit: null;postgres;100;0;1;0;1;1;0;0;0;0;0;0;0;0;0.0;0.0;1.0;build;1;0s
users '_id' = 052a44f6-127f-4e5a-800b-c0be1df5603e .children '_id' = 75d3303f-a914-4f22-bc8a-3659093c9ae4 [name, age, _id].grand_children '_id' = fdf6be31-2cf6-415f-b62b-18a0c1eb7454 , limit: null;postgres;100;1;1;0;2;2;0;0;0;1;0;0;0;0;0.3333333333333333;0.0;0.6666666666666666;build;1;0s
users '_id' = 9306f769-968d-4e06-a55b-9d6849b4f238 [name, age, _id].children '_id' = 7121bcb6-573e-4754-a01d-c98617c2362a [name, age, _id].grand_children '_id' = 68f2c481-00c5-45e3-a98e-69bac28b165f .grand2_children '_id' = 86625d6e-b2ab-43d7-991e-8add888e9c4e , limit: null;postgres;100;0;2;0;2;2;0;0;0;2;0;0;0;0;0.5;0.0;0.5;build;1;0s
users '_id' = 55b370f0-d04d-42a8-b16c-61b2bd64d9e9 [name, age, _id].children '_id' = af602953-8926-4bac-8d7b-1106a511482f .grand_children '_id' = 15751f07-c65f-4bc3-83a3-2b88c700679c .grand2_children '_id' = d6302a3c-f6b3-44ca-a3e8-a632c3035593 .grand3_children '_id' = 732ed499-4221-4d1e-90ea-0640260dcad0 , limit: null;postgres;100;1;2;0;3;3;0;0;0;2;0;0;0;0;0.2;0.0;0.8;build;1;0s
users '_id' = 8bb8666f-f02a-4bab-b190-10b22418b3a3 .children '_id' = 683049c2-c8f7-48cb-ab85-ededc1210d9f .grand_children '_id' = 2da33174-75a2-4bbb-a221-920ef13d66d2 .grand2_children '_id' = 57c4ec22-0fcb-4efe-9da1-ef9e723513fb .grand3_children '_id' = bf15a787-15c4-4111-aed6-6c05f96f6fd5 .grand4_children '_id' = c422e30a-4bfe-42bc-819d-434047664cb0 , limit: null;postgres;100;0;3;0;3;3;0;0;0;3;0;0;0;0;0.0;0.0;1.0;build;1;0s
users '_id' = d841a5d3-2cf6-4559-916b-03ff0c375340 [name, age, _id].children '_id' = 2a5f2f78-f9d5-4f12-901a-8f78ecf46fa6 .grand_children '_id' = 3597e4b8-675e-48d8-adba-1ead9c677553 [name, age, _id].grand2_children '_id' = b7e8c620-a691-4a92-ae2e-bb1eebefbc6c .grand3_children '_id' = a9be9d92-1897-4f0c-8d36-803413b2fd7a .grand4_children '_id' = eb0072e0-a703-4cda-95f5-438682f3b9bb [name, age, _id].grand5_children '_id' = 6447e498-cee5-420f-b40b-c653346b06bf [name, age, _id], limit: null;postgres;100;1;3;0;4;4;0;0;0;3;0;0;0;0;0.5714285714285714;0.0;0.42857142857142855;build;1;0s
users  .users_owns_pets pets  '_id' = 489cff3f-0e2d-447e-82da-6bdbf08c5fd0  , limit: null;postgres;100;0;0;1;1;0;0;0;0;1;0;0;0;1;0.0;0.0;1.0;build;1;0s
users '_id' = d0e38ab9-c910-45ed-9d21-39010c9fe923 [name, age, _id].users_owns_pets pets  '_id' = 2893afa1-72d4-4823-94b8-a7927b49a014  .pets_child '_id' = 7f25cfa2-a058-414c-a5d6-4bac2812d548 [name, age, _id], limit: null;postgres;100;1;0;1;2;2;0;0;0;1;0;0;0;0;0.5;0.0;0.75;build;1;0s
users '_id' = fbfe41b8-7013-40c6-bd86-bfcd0211df5f [name, age, _id].users_owns_pets pets  '_id' = 07cf373a-c6ce-451b-8f6e-5d5778d2e2d4 [since, nickname] [name, age, _id].pets_child '_id' = 526ace2a-8119-49c4-8f10-7cbf153c8823 [name, age, _id].pets_grand_child '_id' = 440f9b1a-2478-4f75-86e6-8f73b24f637c [name, age, _id], limit: null;postgres;100;0;1;1;2;2;0;0;0;2;0;0;0;0;1.0;0.0;0.6;build;1;0s
