collection_size;result_size;query
100;100;(users  [name, age, _id]), limit: null
100;1;(users '_id' = 7ca7148f-9034-4150-ab39-c98b0ad6f4fe ).(children  ), limit: null
100;1;(users '_id' = 9a5ff36a-bdc4-4c2a-8987-2ab6b31fd88e ).(children '_id' = 115248c4-c013-490a-9813-5d853e86fab5 [name, age, _id]).(grand_children '_id' = 45e532ef-eb97-47fa-9abe-167faf8b2f80 ), limit: null
100;1;(users '_id' = 6ba1106f-0afd-4fa6-a83d-7b6e09b5ad95 [name, age, _id]).(children '_id' = b7f332b3-bb11-43bf-bef3-12a30f17b6a7 [name, age, _id]).(grand_children '_id' = 2f35b05b-383b-46e2-baa2-004ef7215858 ).(grand2_children '_id' = 10caf838-fbbf-4b2b-9e54-d71da4e2db8e ), limit: null
100;1;(users '_id' = 3ce4946a-74c0-408c-8e52-47258b477a79 [name, age, _id]).(children '_id' = 7f8f68ab-9c97-45b1-b73a-3c9993ffc5de ).(grand_children '_id' = f169e666-1af8-4a17-8553-676b0608d800 ).(grand2_children '_id' = 6879cd66-37e0-4cb3-85ab-5365e9876f5d ).(grand3_children '_id' = 75b84883-f49c-4985-84a4-3b0347790121 ), limit: null
100;1;(users '_id' = ffd51964-900d-4894-816e-e0ce56328802 ).(children '_id' = a4ad7428-eafb-4834-abaf-c70e52197eff ).(grand_children '_id' = c196e6a6-6415-4855-9818-7c9e6f284fc0 ).(grand2_children '_id' = 436e12df-5e86-4ab6-8898-32ddc1213e4e ).(grand3_children '_id' = 8eee6af5-c7ad-4821-b1be-cec656ddda59 ).(grand4_children '_id' = bbc6a433-85ae-4e71-aad7-2f83a1f3efff ), limit: null
100;1;(users '_id' = c030000e-9f6f-492a-9c29-a4158210d232 [name, age, _id]).(children '_id' = 41eed93b-58cd-48b0-abd6-1d84ba04fa16 ).(grand_children '_id' = 14575fb9-e957-483d-b78a-20fe8139847b [name, age, _id]).(grand2_children '_id' = 578c5e8e-f97e-4ec3-817f-19013143a338 ).(grand3_children '_id' = 0284b826-f4ab-45b9-84fb-285ee3d91cb4 ).(grand4_children '_id' = e01e5a95-b3de-448e-99bd-df223c53c5b9 [name, age, _id]).(grand5_children '_id' = 25f1beae-dfe0-4e89-a86f-8ddd1e4fc0ef [name, age, _id]), limit: null
100;1;(users  ).(users_owns_pets  )(pets '_id' = 4390f0e6-c20e-4545-ac54-9db6674b5d20 ), limit: null
100;1;(users '_id' = 05135220-d23e-4976-bd4a-ec7bc9bd6e92 [name, age, _id]).(users_owns_pets  )(pets '_id' = f5c2f7d3-07ce-4af5-a072-c89b8f929191 ).(pets_child '_id' = c6f96b92-763c-4cdf-a088-c4afc3a85a19 [name, age, _id]), limit: null
100;1;(users '_id' = 767b2666-79c5-4990-9f95-4b57f35fbf77 [name, age, _id]).(users_owns_pets  [since, nickname])(pets '_id' = 8561ab01-959b-4559-9f72-cae04d38546d [name, age, _id]).(pets_child '_id' = 6357472a-a3ba-4119-a6f4-19041f6cce8f [name, age, _id]).(pets_grand_child '_id' = 5e598722-72d1-4117-baad-07d37d093f4c [name, age, _id]), limit: null
100;1;(users '_id' = 9a5ff36a-bdc4-4c2a-8987-2ab6b31fd88e [name, age, _id]).(children '_id' = 115248c4-c013-490a-9813-5d853e86fab5 ).(children_owns_pets  [since, nickname])(pets '_id' = 732c6119-3018-4d59-a779-3e481ab69e4f [name, age, _id]), limit: null
100;1;(users '_id' = 289d306b-3a03-460b-b65f-58c1ae62072f ).(children '_id' = 9c733afd-88cd-4b4d-8b2a-5a9968b23529 ).(children_owns_pets  )(pets '_id' = 380b0a6d-22e1-4138-b640-456bf75f1fdb ).(pets_child '_id' = 855b81dc-55a6-433a-9d6c-2c64d5ef6de2 ), limit: null
100;1;(users '_id' = 54c684a3-8fa5-4a2e-884b-f5d401fc5801 [name, age, _id]).(children '_id' = cd01b8c1-6c45-4c18-888f-e6f86674daed [name, age, _id]).(children_owns_pets  )(pets '_id' = 067c206b-2d5a-4d3e-b7d1-a0422546442e ).(pets_child '_id' = 9458712a-abe0-470e-b5e9-ad6bdfea0ca1 ).(pets_grand_child '_id' = 934e7ffe-9f8f-4996-be1e-034f3de54231 ), limit: null
100;1;(users '_id' = 937af2a8-c3b1-42e0-adbf-96f4f1661bc2 [name, age, _id]).(children '_id' = e3e64f1e-6811-434b-9313-7001bc3616bd ).(grand_children '_id' = 58e5fcb2-55d9-472e-84c2-145133c09a7e ).(grand_children_owns_pets  [since, nickname])(pets '_id' = 067c206b-2d5a-4d3e-b7d1-a0422546442e [name, age, _id]), limit: null
100;1;(users '_id' = 15758b70-ce71-4294-a04b-e68d28456283 ).(children '_id' = 4a184982-3832-4ee0-a9bc-0f5b5cd610b7 ).(grand_children '_id' = 677b3e5f-27e5-48da-acab-0fd86cf77632 [name, age, _id]).(grand_children_owns_pets  [since, nickname])(pets '_id' = b7b35ae8-d3ea-4e2f-900c-f72fbc4d25b0 [name, age, _id]).(pets_child '_id' = 66672162-a0f0-4a6f-9452-380701588bd0 ), limit: null
